# id method1_energy method2_energy
58 -9.77823173795511 -9.77823173795512
59 18.8974840845639 18.8974840845639
60 -8.83884687389543 -8.83884687389543
61 -12.1290285649602 -12.1290285649602
62 -12.9883206754964 -12.9883206754964
63 -5.08561012441046 -5.08561012441046
64 -14.2705277667883 -14.2705277667883
65 -14.5283156941908 -14.5283156941908
66 -15.1497212584677 -15.1497212584677
67 -1.28322988343025 -1.28322988343025
68 2.27675879877649 2.27675879877649
69 -2.85465075592134 -2.85465075592134
70 -11.4309056243623 -11.4309056243623
71 -9.2077574692158 -9.2077574692158
72 2.17180399930101 2.17180399930101
73 -7.30007012725376 -7.30007012725375
74 0.887070852738965 0.887070852738966
75 -8.53535835680514 -8.53535835680514
76 -7.90098083027052 -7.90098083027052
77 -5.1893166505383 -5.1893166505383
78 -13.2409300183151 -13.2409300183151
79 -9.01941707707007 -9.01941707707007
80 5.72378552780656 5.72378552780654
81 -12.4066113125818 -12.4066113125818
82 -6.0348120616224 -6.0348120616224
83 31.8784543423817 31.8784543423817
84 -9.12977363857784 -9.12977363857784
85 -14.030326429263 -14.030326429263
86 -14.5644243141458 -14.5644243141458
87 -7.03800129505993 -7.03800129505993
88 -9.51070560369386 -9.51070560369386
89 -12.9880408469365 -12.9880408469365
90 -6.99914120756918 -6.99914120756918
91 -17.9125431507983 -17.9125431507983
92 28.9180020464238 28.9180020464238
93 -5.01033551290416 -5.01033551290416
94 -12.2278002790807 -12.2278002790807
95 -9.94620750700659 -9.94620750700659
96 -6.62896121993348 -6.62896121993348
97 14.5129277143941 14.5129277143941
98 -11.6464005113008 -11.6464005113008
99 -11.0714079205912 -11.0714079205912
100 -12.0645053120996 -12.0645053120996
101 -14.2276998052355 -14.2276998052355
102 -6.63317216550277 -6.63317216550277
103 -8.72987749501253 -8.72987749501252
104 -8.34209600531022 -8.34209600531022
105 46.4994578234954 46.4994578234954
106 -9.87438092795733 -9.87438092795733
107 -8.40394807137326 -8.40394807137326
108 -2.44128574142181 -2.44128574142182
109 -13.3005589342396 -13.3005589342396
110 -3.49532501354942 -3.49532501354942
111 -2.28840259620405 -2.28840259620406
112 -0.206350668235224 -0.206350668235234
113 -5.90653131512636 -5.90653131512636
114 -6.40606826117513 -6.40606826117513
115 -3.67719730577553 -3.67719730577553
116 -9.7666486945444 -9.7666486945444
117 -5.12187474470056 -5.12187474470056
118 5.50695489180357 5.50695489180357
119 -4.31442327701127 -4.31442327701127
120 -5.52382761677441 -5.52382761677441
121 -6.63739521120646 -6.63739521120645
122 -14.2942115731523 -14.2942115731523
123 -10.5553090307274 -10.5553090307274
124 -9.48622970169766 -9.48622970169766
